 #energy          xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
  0.52849000E+01  0.20826388E+07  0.20826388E+07  0.20826388E+07  0.21436412E+05  0.21436412E+05  0.21436412E+05
  0.53201000E+01  0.21399178E+07  0.21399178E+07  0.21399178E+07  0.21610592E+05  0.21610592E+05  0.21610592E+05
  0.53554000E+01  0.21904246E+07  0.21904246E+07  0.21904246E+07  0.21205204E+05  0.21205204E+05  0.21205204E+05
  0.53906000E+01  0.22321503E+07  0.22321503E+07  0.22321503E+07  0.20756757E+05  0.20756757E+05  0.20756757E+05
  0.54258000E+01  0.22639044E+07  0.22639044E+07  0.22639044E+07  0.20489899E+05  0.20489899E+05  0.20489899E+05
  0.54611000E+01  0.22853487E+07  0.22853487E+07  0.22853487E+07  0.19412848E+05  0.19412848E+05  0.19412848E+05
  0.54963000E+01  0.22969116E+07  0.22969116E+07  0.22969116E+07  0.18069176E+05  0.18069176E+05  0.18069176E+05
  0.55315000E+01  0.22998212E+07  0.22998212E+07  0.22998212E+07  0.17422254E+05  0.17422254E+05  0.17422254E+05
  0.55668000E+01  0.22958104E+07  0.22958104E+07  0.22958104E+07  0.15958578E+05  0.15958578E+05  0.15958578E+05
  0.56020000E+01  0.22867104E+07  0.22867104E+07  0.22867104E+07  0.15253333E+05  0.15253333E+05  0.15253333E+05
  0.56372000E+01  0.22745057E+07  0.22745057E+07  0.22745057E+07  0.14031572E+05  0.14031572E+05  0.14031572E+05
  0.56725000E+01  0.22610815E+07  0.22610815E+07  0.22610815E+07  0.13245822E+05  0.13245822E+05  0.13245822E+05
  0.57077000E+01  0.22480741E+07  0.22480741E+07  0.22480741E+07  0.11802398E+05  0.11802398E+05  0.11802398E+05
  0.57429000E+01  0.22370285E+07  0.22370285E+07  0.22370285E+07  0.11185102E+05  0.11185102E+05  0.11185102E+05
  0.57782000E+01  0.22292985E+07  0.22292985E+07  0.22292985E+07  0.10535253E+05  0.10535253E+05  0.10535253E+05
  0.58134000E+01  0.22257742E+07  0.22257742E+07  0.22257742E+07  0.10599432E+05  0.10599432E+05  0.10599432E+05
  0.58486000E+01  0.22268994E+07  0.22268994E+07  0.22268994E+07  0.99240666E+04  0.99240666E+04  0.99240666E+04
  0.58839000E+01  0.22324175E+07  0.22324175E+07  0.22324175E+07  0.11348601E+05  0.11348601E+05  0.11348601E+05
  0.59191000E+01  0.22411037E+07  0.22411037E+07  0.22411037E+07  0.12726398E+05  0.12726398E+05  0.12726398E+05
  0.59543000E+01  0.22511434E+07  0.22511434E+07  0.22511434E+07  0.12802080E+05  0.12802080E+05  0.12802080E+05
  0.59896000E+01  0.22604014E+07  0.22604014E+07  0.22604014E+07  0.13339644E+05  0.13339644E+05  0.13339644E+05
  0.60248000E+01  0.22667906E+07  0.22667906E+07  0.22667906E+07  0.13418039E+05  0.13418039E+05  0.13418039E+05
  0.60600000E+01  0.22689725E+07  0.22689725E+07  0.22689725E+07  0.14008225E+05  0.14008225E+05  0.14008225E+05
  0.60953000E+01  0.22665414E+07  0.22665414E+07  0.22665414E+07  0.12981576E+05  0.12981576E+05  0.12981576E+05
  0.61305000E+01  0.22598580E+07  0.22598580E+07  0.22598580E+07  0.13056544E+05  0.13056544E+05  0.13056544E+05
  0.61657000E+01  0.22499715E+07  0.22499715E+07  0.22499715E+07  0.12008564E+05  0.12008564E+05  0.12008564E+05
  0.62009000E+01  0.22379194E+07  0.22379194E+07  0.22379194E+07  0.12077121E+05  0.12077121E+05  0.12077121E+05
  0.62362000E+01  0.22244060E+07  0.22244060E+07  0.22244060E+07  0.12145872E+05  0.12145872E+05  0.12145872E+05
