#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 200  20
# Band-Index    1
   1.86648     -6.934434     -6.934434
   1.88321     -6.866084     -6.866084
   1.89994     -6.795643     -6.795643
   1.91667     -6.723180     -6.723180
   1.93340     -6.648767     -6.648767
   1.95013     -6.572481     -6.572481
   1.96686     -6.494399     -6.494399
   1.98359     -6.412079     -6.412079
   2.00032     -6.330955     -6.330955
   2.01705     -6.247984     -6.247984
   2.03378     -6.163552     -6.163552
   2.05051     -6.076142     -6.076142
   2.06724     -5.989213     -5.989213
   2.08397     -5.901499     -5.901499
   2.10070     -5.814509     -5.814509
   2.11743     -5.751266     -5.751266
   2.11743     -5.751266     -5.751266
   2.14700     -5.752269     -5.752269
   2.17657     -5.755517     -5.755517
   2.20615     -5.761306     -5.761306
   2.23572     -5.769124     -5.769124
   2.26529     -5.780278     -5.780278
   2.29487     -5.795761     -5.795761
   2.32444     -5.828435     -5.828435
   2.35401     -5.867529     -5.867529
   2.38359     -5.908673     -5.908673
   2.41316     -5.953233     -5.953233
   2.44274     -5.999207     -5.999207
   2.47231     -6.046758     -6.046758
   2.50188     -6.095219     -6.095219
   2.53146     -6.145284     -6.145284
   2.56103     -6.196607     -6.196607
   2.59060     -6.249171     -6.249171
   2.62018     -6.303977     -6.303977
   2.64975     -6.361560     -6.361560
   2.67932     -6.422625     -6.422625
   2.70890     -6.487763     -6.487763
   2.73847     -6.557411     -6.557411
   2.76805     -6.630329     -6.630329
   2.79762     -6.706781     -6.706781
   2.82719     -6.784626     -6.784626
   2.85677     -6.864045     -6.864045
   2.88634     -6.943950     -6.943950
   2.91591     -7.023320     -7.023320
   2.94549     -7.101891     -7.101891
   2.97506     -7.177661     -7.177661
   3.00463     -7.249748     -7.249748
   3.03421     -7.318033     -7.318033
   3.06378     -7.381618     -7.381618
   3.09336     -7.440731     -7.440732
   3.12293     -7.492999     -7.492999
   3.15250     -7.538925     -7.538925
   3.18208     -7.578161     -7.578161
   3.21165     -7.610898     -7.610898
   3.24122     -7.634697     -7.634697
   3.27080     -7.650899     -7.650899
   3.27080     -7.650899     -7.650899
   3.29345     -7.624424     -7.624424
   3.31610     -7.594303     -7.594303
   3.33875     -7.561192     -7.561192
   3.36140     -7.525197     -7.525197
   3.38406     -7.485390     -7.485390
   3.40671     -7.443687     -7.443687
   3.42936     -7.399457     -7.399457
   3.45201     -7.352952     -7.352952
   3.47466     -7.304418     -7.304418
   3.49731     -7.254308     -7.254308
   3.51997     -7.202485     -7.202485
   3.54262     -7.149838     -7.149838
   3.56527     -7.096654     -7.096654
   3.58792     -7.043402     -7.043402
   3.61057     -6.990682     -6.990682
   3.63322     -6.938433     -6.938433
   3.65588     -6.889500     -6.889500
   3.67853     -6.844940     -6.844940
   3.70118     -6.811804     -6.811804
   3.72383     -6.811804     -6.811804
   3.74648     -6.844940     -6.844940
   3.76913     -6.889500     -6.889500
   3.79179     -6.938433     -6.938433
   3.81444     -6.990682     -6.990682
