#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 200  20
# Band-Index    1
   4.08626     -6.970341     -6.970341
   4.10891     -6.997525     -6.997525
   4.13156     -7.022553     -7.022553
   4.15421     -7.044970     -7.044970
   4.15421     -7.044970     -7.044970
   4.16604     -7.057287     -7.057287
   4.17787     -7.069038     -7.069038
   4.18970     -7.080208     -7.080208
   4.20153     -7.090894     -7.090894
   4.21336     -7.100871     -7.100871
   4.22519     -7.110230     -7.110230
   4.23702     -7.118964     -7.118964
   4.24885     -7.127063     -7.127063
   4.26068     -7.134515     -7.134515
   4.27251     -7.141208     -7.141208
   4.28434     -7.147349     -7.147349
   4.29617     -7.152823     -7.152823
   4.30800     -7.157625     -7.157625
   4.31983     -7.161750     -7.161750
   4.33166     -7.165154     -7.165154
   4.34348     -7.167914     -7.167914
   4.35531     -7.169990     -7.169990
   4.36714     -7.171377     -7.171377
   4.37897     -7.172069     -7.172069
   4.39080     -7.172069     -7.172069
   4.40263     -7.171377     -7.171377
   4.41446     -7.169990     -7.169990
   4.42629     -7.167914     -7.167914
   4.43812     -7.165154     -7.165154
   4.44995     -7.161750     -7.161750
   4.46178     -7.157625     -7.157625
   4.47361     -7.152823     -7.152823
   4.48544     -7.147349     -7.147349
   4.49727     -7.141208     -7.141208
   4.50910     -7.134515     -7.134515
   4.52093     -7.127063     -7.127063
   4.53276     -7.118964     -7.118964
   4.54459     -7.110230     -7.110230
   4.55641     -7.100871     -7.100871
   4.56824     -7.090894     -7.090894
   4.58007     -7.080208     -7.080208
   4.59190     -7.069038     -7.069038
   4.60373     -7.057287     -7.057287
   4.61556     -7.044970     -7.044970
 
# Band-Index    4
   4.61556     -6.114008     -6.114008
   4.60373     -6.103194     -6.103194
   4.59190     -6.097286     -6.097286
   4.58007     -6.098789     -6.098789
   4.56824     -6.100305     -6.100305
   4.55641     -6.101656     -6.101656
   4.54459     -6.102929     -6.102929
   4.53276     -6.104121     -6.104121
   4.52093     -6.105237     -6.105237
   4.50910     -6.106260     -6.106260
   4.49727     -6.106610     -6.106610
   4.48544     -6.107463     -6.107463
   4.47361     -6.108225     -6.108225
   4.46178     -6.108895     -6.108895
   4.44995     -6.109471     -6.109471
   4.43812     -6.109953     -6.109953
   4.42629     -6.110339     -6.110339
   4.41446     -6.110634     -6.110634
   4.40263     -6.110832     -6.110832
   4.39080     -6.110929     -6.110929
   4.37897     -6.110929     -6.110929
   4.36714     -6.110832     -6.110832
   4.35531     -6.110634     -6.110634
   4.34348     -6.110339     -6.110339
   4.33166     -6.109953     -6.109953
   4.31983     -6.109471     -6.109471
   4.30800     -6.108895     -6.108895
   4.29617     -6.108225     -6.108225
   4.28434     -6.107463     -6.107463
   4.27251     -6.106610     -6.106610
