 #Energy    XX(cm^-1)       YY(cm^-1)      ZZ(cm^-1)       XY(cm^-1)       YZ(cm^-1)       XZ(cm^-1)
  4.1779  0.15099745E+07  0.15099745E+07  0.15099745E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.2077  0.15521101E+07  0.15521101E+07  0.15521101E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.2375  0.15918806E+07  0.15918806E+07  0.15918806E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.2674  0.16306612E+07  0.16306612E+07  0.16306612E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.2972  0.16691091E+07  0.16691091E+07  0.16691091E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.3271  0.17070464E+07  0.17070464E+07  0.17070464E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.3569  0.17430583E+07  0.17430583E+07  0.17430583E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.3867  0.17750058E+07  0.17750058E+07  0.17750058E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.4166  0.18003647E+07  0.18003647E+07  0.18003647E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.4464  0.18166517E+07  0.18166517E+07  0.18166517E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.4763  0.18221729E+07  0.18221729E+07  0.18221729E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.5061  0.18160274E+07  0.18160274E+07  0.18160274E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.5360  0.17985759E+07  0.17985759E+07  0.17985759E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.5658  0.17710376E+07  0.17710376E+07  0.17710376E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.5956  0.17355398E+07  0.17355398E+07  0.17355398E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.6255  0.16946154E+07  0.16946154E+07  0.16946154E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.6553  0.16507121E+07  0.16507121E+07  0.16507121E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.6852  0.16060907E+07  0.16060907E+07  0.16060907E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.7150  0.15623727E+07  0.15623727E+07  0.15623727E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.7449  0.15208087E+07  0.15208087E+07  0.15208087E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.7747  0.14822535E+07  0.14822535E+07  0.14822535E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.8045  0.14476566E+07  0.14476566E+07  0.14476566E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.8344  0.14181450E+07  0.14181450E+07  0.14181450E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
